Article Number, Topic Feature, Tf-Idf, Sentence Position Feature, Class
1, 0.21428571428571427, 0.14070276558711908, 1.0, 1
1, 0.0, 0.15931552445491437, 0.9047619047619048, 0
1, 0.14285714285714285, 0.30521529394628705, 0.8095238095238095, 0
1, 0.0, 0.3028115585247283, 0.7142857142857143, 0
1, 0.17647058823529413, 0.1266211983826617, 0.6190476190476191, 0
1, 0.2857142857142857, 0.2923865457948101, 0.5238095238095238, 0
1, 0.1111111111111111, 0.15166186234223977, 0.42857142857142855, 1
1, 0.0, 0.3924941943343699, 0.3333333333333333, 0
1, 0.0, 0.18819892313563297, 0.23809523809523808, 0
1, 0.0, 0.20862520428930975, 0.14285714285714285, 1
1, 0.0, 0.24866569779583056, 0.047619047619047616, 0
1, 0.05263157894736842, 0.125350398977866, 0.14285714285714285, 0
1, 0.0, 0.3322677663817042, 0.23809523809523808, 0
1, 0.08333333333333333, 0.17929588759141224, 0.3333333333333333, 0
1, 0.0, 0.46556373000644014, 0.42857142857142855, 0
1, 0.0, 0.2685803378886744, 0.5238095238095238, 0
1, 0.3076923076923077, 0.1532613304130391, 0.6190476190476191, 1
1, 0.0, 0.21980185645899106, 0.7142857142857143, 1
1, 0.18181818181818182, 0.19078912375627305, 0.8095238095238095, 0
1, 0.25, 0.16085190009166783, 0.9047619047619048, 1
1, 0.0, 0.3637958508695107, 1.0, 1
2, 0.18181818181818182, 0.14101475915168743, 1.0, 0
2, 0.125, 0.21016980381838068, 0.8, 0
2, 0.0, 0.2878231366242558, 0.6, 0
2, 0.0196078431372549, 0.04110605497833168, 0.4, 1
2, 0.04, 0.07730903665001457, 0.2, 1
2, 0.07692307692307693, 0.13061195947603804, 0.2, 0
2, 0.14285714285714285, 0.12643607832935017, 0.4, 1
2, 0.0, 0.5069830052067545, 0.6, 0
2, 0.0, 0.6905120109357991, 0.8, 0
2, 0.0, 0.30064900591507, 1.0, 0
3, 0.35, 0.07706702779306114, 1.0, 0
3, 0.0, 0.0672499873720403, 0.7777777777777778, 0
3, 0.0, 0.1295197228317495, 0.5555555555555556, 0
3, 0.1, 0.18388726834906088, 0.3333333333333333, 0
3, 0.25, 0.13060148932647778, 0.1111111111111111, 0
3, 0.18181818181818182, 0.12483729329669684, 0.3333333333333333, 0
3, 0.0, 0.14166026433241366, 0.5555555555555556, 0
3, 0.0, 0.07881881090406267, 0.7777777777777778, 0
3, 0.1, 0.1608614174191204, 1.0, 0
4, 0.2222222222222222, 0.3140762839475518, 1.0, 1
4, 0.0, 0.982334923387099, 0.9583333333333334, 0
4, 0.0, 1.7623137103139592, 0.9166666666666666, 0
4, 0.0, 0.9244785539419762, 0.875, 0
4, 0.0, 0.3199339678436273, 0.8333333333333334, 0
4, 0.0, 0.7742402021815783, 0.7916666666666666, 0
4, 0.0, 0.6146831604660898, 0.75, 1
4, 0.0, 1.660947433286918, 0.7083333333333334, 1
4, 0.16666666666666666, 0.5841661524475312, 0.6666666666666666, 1
4, 0.3333333333333333, 0.5841661524475312, 0.625, 1
4, 0.0, 0.41751738820646517, 0.5833333333333334, 0
4, 0.0, 0.5060158547597525, 0.5416666666666666, 0
4, 0.16666666666666666, 0.5314683750895902, 0.5, 0
4, 0.0, 1.141087047866959, 0.4583333333333333, 0
4, 0.0, 0.5105911333607225, 0.4166666666666667, 0
4, 0.0, 0.603173557420936, 0.375, 0
4, 0.0, 0.41891757818599157, 0.3333333333333333, 1
4, 0.0, 0.4450734599605489, 0.2916666666666667, 1
4, 0.0, 0.29963705196699286, 0.25, 1
4, 0.0, 0.8811568551569796, 0.20833333333333334, 0
4, 0.0, 0.40175176117555234, 0.16666666666666666, 0
4, 0.0, 1.091315951499513, 0.125, 0
4, 0.0, 0.5761749837683151, 0.08333333333333333, 0
4, 0.0, 1.136367630178198, 0.041666666666666664, 0
4, 0.0, 0.8811568551569796, 0.041666666666666664, 0
4, 0.0, 0.22883895089603676, 0.08333333333333333, 0
4, 0.0, 0.37325715747959015, 0.125, 0
4, 0.0, 1.1363676301781982, 0.16666666666666666, 0
